Start date,End date,alpha
2006-5-01,2008-5-01,6.838925146583206
2006-7-01,2008-7-01,3.5638743765034606
2006-9-01,2008-9-01,3.5215672188398583
2006-11-01,2008-11-01,3.3302230443091188
2007-1-01,2009-1-01,2.961492667309988
2007-3-01,2009-3-01,3.1149359648485087
2007-5-01,2009-5-01,3.859712142347965
2007-7-01,2009-7-01,3.244854953819369
2007-9-01,2009-9-01,3.246900589857878
2007-11-01,2009-11-01,3.2338639990346065
2008-1-01,2010-1-01,3.1335705788442945
2008-3-01,2010-3-01,3.859712142347965
2008-5-01,2010-5-01,3.097608476583836
2008-7-01,2010-7-01,3.906199968262842
2008-9-01,2010-9-01,3.906199968262842
2008-11-01,2010-11-01,4.045802462813001
2009-1-01,2011-1-01,5.08532240192974
2009-3-01,2011-3-01,5.733960292168529
2009-5-01,2011-5-01,10.24563520705739
2009-7-01,2011-7-01,3.540662197690353
2009-9-01,2011-9-01,3.405510704030313
2009-11-01,2011-11-01,3.248285115047704
2010-1-01,2012-1-01,3.331678467884212
2010-3-01,2012-3-01,3.319401773914065
2010-5-01,2012-5-01,3.291592700382458
2010-7-01,2012-7-01,3.524848574342324
2010-9-01,2012-9-01,3.7188141985108225
2010-11-01,2012-11-01,3.67621124591042
2011-1-01,2013-1-01,3.6628162750954583
2011-3-01,2013-3-01,3.5663527525809036
2011-5-01,2013-5-01,3.4308306789776193
2011-7-01,2013-7-01,3.4017891221598737
2011-9-01,2013-9-01,3.952416559932599
2011-11-01,2013-11-01,4.699061409071987
2012-1-01,2014-1-01,5.22295027449455
2012-3-01,2014-3-01,4.709209166483146
2012-5-01,2014-5-01,4.092604149710365
2012-7-01,2014-7-01,4.696518924629881
2012-9-01,2014-9-01,4.261481942420179
2012-11-01,2014-11-01,4.749417688189596
2013-1-01,2015-1-01,4.744230444716641
2013-3-01,2015-3-01,5.150058321097116
2013-5-01,2015-5-01,5.404236173478052
2013-7-01,2015-7-01,4.999600994327578
2013-9-01,2015-9-01,4.235090508105241
2013-11-01,2015-11-01,3.9710360523160033
2014-1-01,2016-1-01,3.987149166827572
2014-3-01,2016-3-01,5.187779398733148
2014-5-01,2016-5-01,5.034653982582224
2014-7-01,2016-7-01,5.176167873954182
2014-9-01,2016-9-01,5.173140110096831
2014-11-01,2016-11-01,4.546376742157097
2015-1-01,2017-1-01,4.529067814518355
2015-3-01,2017-3-01,4.421438753303385
2015-5-01,2017-5-01,3.979444088018841
2015-7-01,2017-7-01,4.324221078035574
2015-9-01,2017-9-01,4.840822068061325
2015-11-01,2017-11-01,4.880553500004732
2016-1-01,2018-1-01,3.1082875516062947
2016-3-01,2018-3-01,4.064251492830278
2016-5-01,2018-5-01,4.100194764095519
2016-7-01,2018-7-01,3.0879868966076316
2016-9-01,2018-9-01,3.2633346363464826
2016-11-01,2018-11-01,3.0113221480261525
2017-1-01,2019-1-01,2.7764938897864786
2017-3-01,2019-3-01,2.7767830186725115
2017-5-01,2019-5-01,2.7494432718838286
2017-7-01,2019-7-01,2.904034672614119
2017-9-01,2019-9-01,3.2213737845316066
2017-11-01,2019-11-01,3.285661756185704
2018-1-01,2020-1-01,3.285661756185704
2018-3-01,2020-3-01,2.790141016316057
2018-5-01,2020-5-01,2.34119437327577
2018-7-01,2020-7-01,2.228549015921499
2018-9-01,2020-9-01,2.326816313103082
2018-11-01,2020-11-01,2.619215399872556
2019-1-01,2021-1-01,2.5551389038234684
2019-3-01,2021-3-01,2.618263263545799
2019-5-01,2021-5-01,2.6825389223191434
2019-7-01,2021-7-01,2.675799091906538
2019-9-01,2021-9-01,2.7146921425661223
2019-11-01,2021-11-01,2.706163760417316
2020-1-01,2022-1-01,2.7703318448108796
2020-3-01,2022-3-01,2.9588348851658517
2020-5-01,2022-5-01,4.1293586609399355
2020-7-01,2022-7-01,4.230796452292132
2020-9-01,2022-9-01,4.3152749794678495
2020-11-01,2022-11-01,6.0090642969051045
2021-1-01,2023-1-01,6.039851695830087
2021-3-01,2023-3-01,5.751630207247989
2021-5-01,2023-5-01,5.751630207247989
2021-7-01,2023-7-01,5.751630207247989
2021-9-01,2023-9-01,5.751630207247989
2021-11-01,2023-11-01,5.751630207247989
2022-1-01,2024-1-01,5.751630207247989
2022-3-01,2024-3-01,3.5113447632228256
2022-5-01,2024-5-01,3.6852384169160364
2022-7-01,2024-7-01,4.306021337461495
2022-9-01,2024-9-01,4.40929580160149
2022-11-01,2024-11-01,5.216341618202464
